"","WELLNAME","FLUID","PROP_CORR","VISC_CORR","PVT_IS_MATCHED","OilBubpnt","OilSolgor","OilOilfvf","OilOilvis","GasZfact","GasGasfvf","GasGasvis","ConDewpnt","ConCgr","ConZFact","ConGasfvf","ConGasvis","OilBubpnt_p1","OilBubpnt_p2","OilBubpnt_sd","OilSolgor_p1","OilSolgor_p2","OilSolgor_sd","OilOilfvf_p1","OilOilfvf_p2","OilOilfvf_p3","OilOilfvf_p4","OilOilfvf_sd","OilOilvis_p1","OilOilvis_p2","OilOilvis_sd","GasZfact_p1","GasZfact_p2","GasZfact_sd","GasGasfvf_p1","GasGasfvf_p2","GasGasfvf_sd","GasGasvis_p1","GasGasvis_p2","GasGasvis_sd","ConDewpnt_p1","ConDewpnt_p2","ConDewpnt_sd","ConCgr_p1","ConCgr_p2","ConCgr_sd","ConZFact_p1","ConZFact_p2","ConZFact_sd","ConGasfvf_p1","ConGasfvf_p2","ConGasfvf_sd","ConGasvis_p1","ConGasvis_p2","ConGasvis_sd"
"COLUMN_LABELS","Имя_скважины","Флюид","Корреляция_для_свойств(Pb, Rs, FVF)","Корреляция_вязкости","Флаг_модель_PVT_адаптирована","OilBubpnt","OilSolgor","OilOilfvf","OilOilvis","GasZfact","GasGasfvf","GasGasvis","ConDewpnt","ConCgr","ConZFact","ConGasfvf","ConGasvis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1-Tunj","1-Tunj","Oil and Water","Glaso","Beggsetal","Yes","","","","","","","","","","","","","1.10353","375.202","0","0.775672","0.35633","4.1041","0.764157","0.233661","1","1.0E-8","0.00291709","4.33277","-1.01063","0.000253728","","","","","","","","","","","","","","","","","","","","","","","",""
"1001_AR","1001_AR","Oil and Water","Lasater","Beggsetal","Yes","","","","","","","","","","","","","0.964505","-181.202","3.4E+35","1.18207","-14.6828","3.4E+35","1.07217","-0.130993","1","0","3.4E+35","1.27947","0.0446738","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"1003_AR","1003_AR","Oil and Water","Lasater","Beggsetal","Yes","","","","","","","","","","","","","0.964505","-181.202","3.4E+35","1.18207","-14.6828","3.4E+35","1.07217","-0.130993","1","0","3.4E+35","1.27947","0.0446738","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"1004_AR","1004_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1009_AR","1009_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1009_AR_FPZ","1009_AR_FPZ","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"100_URM_INJ","100_URM_INJ","Oil and Water","Glaso","Bealetal","No","","","","","","","","","","","","","1","0","3.4E+35","1","0","3.4E+35","1","0","1","0","3.4E+35","1","0","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"1010_AR","1010_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1011_AR","1011_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1012_AR","1012_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1013_AR","1013_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1017_AR","1017_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1019_AR","1019_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"101_KULG","101_KULG","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.957221","-170.995","3.4E+35","1.13923","1.03178E-10","3.4E+35","0.853785","0.150083","1","0","3.4E+35","1.07035","0.0271358","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"101_URM","101_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"103_URM","103_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"104_KULG","104_KULG","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.957221","-170.995","3.4E+35","1.13923","1.03178E-10","3.4E+35","0.853785","0.150083","1","0","3.4E+35","1.07035","0.0271358","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"106_KULG","106_KULG","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.957221","-170.995","3.4E+35","1.13923","1.03178E-10","3.4E+35","0.853785","0.150083","1","0","3.4E+35","1.07035","0.0271358","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"106_URM","106_URM","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"108_URM","108_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00872","40.4997","0","0.86367","-60.8728","52.3861","1.00452","0.0315713","1","15.3879","0.0225674","19.5253","-5.80711","1.01318","","","","","","","","","","","","","","","","","","","","","","","",""
"109_URM","109_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"1104_AR","1104_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"110_URM","110_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","18.7691","-5.42558","1.06223","","","","","","","","","","","","","","","","","","","","","","","",""
"1124_AR_INJ","1124_AR_INJ","Oil and Water","Glaso","Bealetal","No","","","","","","","","","","","","","1","0","3.4E+35","1","0","3.4E+35","1","0","1","0","3.4E+35","1","0","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"112_URM_INJ","112_URM_INJ","Oil and Water","Glaso","Bealetal","No","","","","","","","","","","","","","1","0","3.4E+35","1","0","3.4E+35","1","0","1","0","3.4E+35","1","0","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"114_URM","114_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"1179_AR","1179_AR","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00872","40.4997","0","0.86367","-60.8728","52.3861","1.00452","0.0315713","1","15.3879","0.0225674","19.5253","-5.80711","1.01318","","","","","","","","","","","","","","","","","","","","","","","",""
"1201_AR","1201_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1202_AR","1202_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1205_AR","1205_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1206_AR","1206_AR","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","0.965521","-169.78","0","1.08334","-2.25006","5.41886","0.968747","0.0380939","1","4.00384","0.00876783","4.3623","-1.4959","0.203001","","","","","","","","","","","","","","","","","","","","","","","",""
"1207_AR","1207_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1208_AR","1208_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"120G_URM","120G_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"1210_AR","1210_AR","Oil and Water","Lasater","Beggsetal","Yes","","","","","","","","","","","","","0.964505","-181.202","3.4E+35","1.18207","-14.6828","3.4E+35","1.07217","-0.130993","1","0","3.4E+35","1.27947","0.0446738","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"1212_AR","1212_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1214_AR","1214_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"1216_AR","1216_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
